Enabled	Feature	ID  	x        	y        	z       	i       	j       	k        	Dev From Fit	Device Position  	Probe	Device Name
Checked	LATR_4 	113 	1,027.437	6,998.509	-179.183	0.262233	0.939834	-0.218967	0.305       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	114 	1,027.442	6,998.507	-179.181	0.262235	0.939833	-0.218967	0.303       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	115 	1,027.436	6,998.511	-179.179	0.262233	0.939834	-0.218966	0.301       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	116 	1,027.434	6,998.508	-179.182	0.262232	0.939834	-0.218967	0.306       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	117 	1,027.436	6,998.508	-179.179	0.262233	0.939834	-0.218966	0.302       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	118 	1,027.432	6,998.506	-179.182	0.262232	0.939834	-0.218967	0.306       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	119 	1,027.428	6,998.508	-179.181	0.262230	0.939835	-0.218967	0.307       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	120 	1,027.435	6,998.507	-179.175	0.262233	0.939834	-0.218965	0.300       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	121 	1,027.433	6,998.505	-179.177	0.262232	0.939834	-0.218965	0.302       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	122 	1,027.435	6,998.506	-179.176	0.262233	0.939834	-0.218965	0.301       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	123 	1,027.431	6,998.506	-179.173	0.262232	0.939835	-0.218964	0.300       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	124 	1,027.432	6,998.505	-179.175	0.262232	0.939834	-0.218965	0.300       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	125 	1,027.430	6,998.506	-179.169	0.262231	0.939835	-0.218963	0.296       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	126 	1,027.429	6,998.505	-179.170	0.262231	0.939835	-0.218963	0.298       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	127 	1,027.431	6,998.503	-179.171	0.262232	0.939835	-0.218964	0.298       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	128 	1,027.430	6,998.504	-179.168	0.262232	0.939835	-0.218963	0.296       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	129 	1,027.428	6,998.505	-179.169	0.262231	0.939835	-0.218963	0.296       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	130 	1,027.434	6,998.504	-179.169	0.262233	0.939835	-0.218963	0.295       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	131 	1,027.427	6,998.503	-179.166	0.262231	0.939836	-0.218962	0.295       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	132 	1,027.429	6,998.503	-179.168	0.262231	0.939835	-0.218962	0.296       	Device Position 1	38.1 	V20003907682
