Enabled	Feature      	ID  	x         	y        	z        	i        	j        	k       	Dev From Fit	Device Position  	Probe	Device Name
Checked	M1_Upper_Left	87  	-2,398.522	2,658.428	2,142.531	-0.737058	-0.486484	0.469126	0.936       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	88  	-2,398.524	2,658.423	2,142.530	-0.737058	-0.486485	0.469125	0.931       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	89  	-2,398.523	2,658.423	2,142.532	-0.737058	-0.486485	0.469126	0.932       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	90  	-2,398.521	2,658.417	2,142.529	-0.737057	-0.486486	0.469125	0.925       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	91  	-2,398.519	2,658.413	2,142.532	-0.737056	-0.486487	0.469125	0.922       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	92  	-2,398.519	2,658.416	2,142.525	-0.737057	-0.486487	0.469124	0.923       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	93  	-2,398.519	2,658.411	2,142.522	-0.737057	-0.486488	0.469123	0.918       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	94  	-2,398.521	2,658.412	2,142.523	-0.737057	-0.486488	0.469123	0.919       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	95  	-2,398.519	2,658.408	2,142.519	-0.737057	-0.486489	0.469122	0.914       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	96  	-2,398.521	2,658.409	2,142.522	-0.737057	-0.486488	0.469123	0.916       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	97  	-2,398.517	2,658.404	2,142.520	-0.737056	-0.486490	0.469122	0.910       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	98  	-2,398.520	2,658.406	2,142.522	-0.737057	-0.486489	0.469123	0.913       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	99  	-2,398.521	2,658.396	2,142.522	-0.737056	-0.486491	0.469122	0.903       	Device Position 1	38.1 	V20003907682
Checked	M1_Upper_Left	100 	-2,398.521	2,658.395	2,142.517	-0.737056	-0.486492	0.469121	0.901       	Device Position 1	38.1 	V20003907682
