CODE52,-6209.479,-155.699,3246.972,0.009,0.009,0.008,0.000
CODE53,-5039.225,-1113.752,2553.050,0.008,0.010,0.009,0.000
CODE54,-8144.071,1419.907,1259.965,0.009,0.010,0.009,0.000
CODE55,-3738.700,7025.404,-774.721,0.014,0.034,0.017,0.000
CODE56,-104.999,4034.971,3016.723,0.022,0.031,0.029,0.000
CODE57,-3869.473,1443.833,5923.343,0.022,0.016,0.054,0.000
CODE58,-1182.781,-2339.916,-2239.968,0.074,0.078,0.076,0.000
CODE61,-4470.089,-1514.568,-1414.055,0.007,0.005,0.005,0.000
CODE62,-8376.170,1681.316,632.104,0.010,0.011,0.010,0.000
CODE63,-7782.096,1115.466,-428.303,0.008,0.009,0.009,0.000
CODE64,-6914.055,379.971,2037.303,0.007,0.009,0.007,0.000
CODE65,-3667.869,-2193.604,-707.363,0.009,0.005,0.005,0.000
CODE66,-3312.484,-2461.382,601.406,0.011,0.006,0.010,0.000
CODE67,-5595.604,-627.928,-2714.205,0.009,0.008,0.008,0.000
CODE68,-6494.032,96.652,-2482.900,0.009,0.010,0.010,0.000
CODE75,-1880.778,6318.314,-93.201,0.019,0.035,0.021,0.000
CODE97,-6046.277,3421.428,5738.900,0.011,0.014,0.027,0.000
CODE98,-7697.110,4733.394,4072.548,0.016,0.018,0.021,0.000
CODE99,-7269.077,3561.362,4746.342,0.011,0.012,0.018,0.000
CODE100,-8471.686,3765.774,-100.457,0.024,0.021,0.011,0.000
CODE101,-7736.593,2938.457,-1473.494,0.022,0.019,0.012,0.000
CODE102,-7489.162,1854.667,-2565.160,0.023,0.017,0.013,0.000
CODE103,-3573.437,122.146,4588.001,0.013,0.013,0.024,0.000
CODE104,-3045.124,-844.674,3303.998,0.012,0.011,0.019,0.000
CODE105,-2800.227,-1928.258,2207.740,0.013,0.014,0.018,0.000
CODE106,-2354.350,-3065.450,-1775.645,0.019,0.020,0.018,0.000
CODE107,-1081.982,-2515.919,130.498,0.082,0.075,0.048,0.000
